no,YEAR,T_ID,P1,P2,P3,P4,D1,D2,D3,B1,B2,B3,B4,C1,C2,C3,C4,S1,S2,W,WS,WC,p1,p2,p3,p4,d1,d2,d3,b1,b2,b3,b4,c1,c2,c3,c4,s1,s2
1,2016,HH,0.285714286,3.970588235,0.261904762,0.352941176,0,0,1,0.282608696,3,0.326530612,0.369565217,0,0.086956522,0.2,12,0,0.589285714,LOSE,0,0,0.385714286,0.185758514,0.486394558,0.243137255,0,0,0.25,0.545031056,0.1875,0.483391682,0.311820652,0,0.194373402,0.2,0.625,0,0.589285714
2,2016,HH,0.4,7.2,0.225,0.8,1,0,2,0.302325581,6,0.361702128,0.488372093,0,0.162790698,0.333333333,10,0,0,LOSE,0,0,0.54,0.336842105,0.417857143,0.551111111,0.333333333,0,0.5,0.583056477,0.375,0.558443871,0.412063954,0,0.36388509,0.333333333,0.5,0,0
3,2016,HH,0.25,5,0.34375,0.777777778,1,1,3,0.371428571,5,0.425,0.6,0,0.228571429,0.428571429,8,1,1,WIN,3,3,0.3375,0.233918129,0.638392858,0.535802469,0.333333333,0.25,0.75,0.716326529,0.3125,0.693514644,0.50625,0,0.510924371,0.428571429,0.375,0.142857143,1
4,2016,HH,0.25,6,0.375,0.777777778,1,0,2,0.314285714,0,0.314285714,0.714285714,2,0.114285714,0.222222222,5,1,1,LOSE,0,3,0.3375,0.280701754,0.696428572,0.535802469,0.333333333,0,0.5,0.606122448,0,0.457262402,0.602678571,0.333333333,0.255462184,0.222222222,0.1875,0.142857143,1
5,2016,HH,0.333333333,7,0.121212121,0.555555556,0,1,1,0.307692308,1,0.307692308,0.615384615,2,0.076923077,0.181818182,10,0,0.589285714,LOSE,0,3,0.449999999,0.32748538,0.225108225,0.38271605,0,0.25,0.25,0.593406593,0.0625,0.443192791,0.519230769,0.333333333,0.171945702,0.181818182,0.5,0,0.589285714
6,2016,HH,0.4,5.625,0.2,0.875,0,2,3,0.161290323,8,0.297297297,0.419354839,1,0.129032258,0.2,8,0,0.589285714,LOSE,0,3,0.54,0.263157895,0.371428572,0.602777778,0,0.5,0.75,0.311059908,0.5,0.421010968,0.353830645,0.166666667,0.288425047,0.2,0.375,0,0.589285714
7,2016,HH,0.472222222,11.25,0.111111111,0.375,0,0,0,0.24137931,2,0.290322581,0.24137931,0,0.034482759,0.5,4,0,0,LOSE,0,3,0.637499999,0.526315789,0.206349206,0.258333333,0,0,0,0.46551724,0.125,0.406127683,0.203663793,0,0.077079108,0.5,0.125,0,0
8,2016,HH,0.068965517,1,0.310344828,0.333333333,1,0,0,0.206896552,5,0.303030303,0.275862069,0,0.068965517,0.181818182,9,0,0.589285714,WIN,3,6,0.093103448,0.046783626,0.576354681,0.229629629,0.333333333,0,0,0.399014778,0.3125,0.43324458,0.232758621,0,0.154158214,0.181818182,0.4375,0,0.589285714
9,2016,HH,0.454545455,8,0.212121212,1,0,1,1,0.264705882,3,0.305555556,0.382352941,0,0.029411765,0.181818182,8,0,0.589285714,LOSE,0,6,0.613636364,0.374269006,0.393939394,0.688888889,0,0.25,0.25,0.510504201,0.1875,0.438633195,0.322610294,0,0.065743945,0.181818182,0.375,0,0.589285714
10,2016,HH,0.425,7,0.15,0.444444444,0,0,0,0.375,3,0.418604651,0.775,0,0.075,0.066666667,13,1,1,LOSE,0,6,0.57375,0.32748538,0.278571429,0.306172839,0,0,0,0.723214285,0.1875,0.679867665,0.65390625,0,0.167647059,0.066666667,0.6875,0.142857143,1
11,2016,HH,0.487804878,17,0.170731707,0.666666667,0,1,2,0.161290323,1,0.161290323,0.161290323,0,0.032258065,0.166666667,3,0,0.589285714,LOSE,0,6,0.658536585,0.795321637,0.31707317,0.45925926,0,0.25,0.5,0.311059908,0.0625,0.130786882,0.13608871,0,0.072106263,0.166666667,0.0625,0,0.589285714
